,v_5057,v_5060,v_5072,v_5069,v_5041,v_5070,v_5058,v_5043,v_5078,v_5076,v_5055,v_5053,v_958,v_5042,v_5044,v_959,v_5056,v_4395,v_4385,v_4386,v_4396,v_5054,['AGBin: Gecombineerde Verpleeginrichtingen'],v_993,v_4397,v_4398,['AGBin: Koepels en Beheerstichtingen WLZ'],v_5135,v_5085,['SBI: 87'],v_5081,['AGBin: Ziekenhuizen'],v_994,v_5076 NULL,v_5078 NULL,v_958 NULL,v_5077 NULL,v_5196 NULL,v_5194 NULL,['AGBP: Fysiotherapeuten'],v_959 NULL,['BIGP: Fysiotherapeuten'],['KWAL_P: Fysiotherapie'],v_5192 NULL,v_993 NULL,v_5193 NULL,v_994 NULL,v_5195 NULL,['AGBP: Verpleegkundigen']
0,4.0,4.0,4.0,4.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
1,8067.0,8446.0,9580.5,10055.0,1987.0,6941.08,5830.56,2745.0,100.0,85.5,4227.0,5176.0,318290000.0,1092.1,1427.9,304096000.0,2220.83,310197000.0,237132000.0,226200000.0,295265000.0,2995.55,0.0,93262000.0,8093000.0,8831000.0,0.0,77.0,0.0,2.0,19.84,0.0,58885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,437.0,430.0,430.5,438.0,126.0,162.67,162.0,112.0,100.0,82.0,112.0,127.0,9479437.0,29.0,29.0,8639235.0,29.0,9318649.0,7142322.0,6460035.0,8456535.0,29.67,0.0,1146546.0,160788.0,182700.0,0.0,2.0,10.0,0.0,43.0,0.0,757566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,28.0,28.0,28.0,28.0,8.0,13.08,13.08,8.0,100.0,90.0,8.0,8.0,1010168.0,3.11,3.08,894158.0,3.08,750881.0,538407.0,526588.0,740820.0,3.11,0.0,73841.0,259287.0,153338.0,0.0,3.0,10.0,0.0,15.0,0.0,265314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,47.0,46.0,46.0,47.0,5.0,40.11,40.11,3.0,0.0,0.0,3.0,5.0,0.0,4.55,2.67,0.0,2.67,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
5,27.0,27.0,27.0,27.0,5.0,16.15,16.15,5.0,100.0,83.0,5.0,5.0,1147791.0,1.03,2.0,1119206.0,2.0,1147791.0,868004.0,837720.0,1119206.0,1.03,0.0,32791.0,0.0,0.0,0.0,0.0,0.2,1.0,36.3,0.0,94777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2312.0,2222.5,2282.0,2355.0,639.0,1131.22,1113.11,460.0,100.0,78.41,548.0,694.0,61565414.0,193.26,106.73,56996229.0,130.85,59729742.0,46076409.0,41360311.0,53426119.0,228.81,2.0,12836016.0,1835672.0,3570110.0,0.0,192.0,0.22,1.0,80.42,0.0,6095274.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7,253.0,252.5,255.5,259.0,44.0,214.6,208.93,43.0,100.0,83.0,43.0,50.0,15399605.0,33.81,32.46,14998195.0,32.46,15150737.0,11291977.0,11243984.0,14738061.0,39.48,0.0,680157.0,248868.0,260134.0,0.0,9.0,3.0,0.0,0.0,0.0,1355362.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8,121.0,125.0,135.5,130.0,33.0,93.92,90.24,41.0,100.0,69.33,50.0,39.0,4841314.0,25.71,27.4,5438606.0,32.42,4105363.0,3193074.0,3251200.0,4202361.0,28.85,0.0,-1153769.0,735951.0,1236245.0,0.0,4.0,0.0,1.0,0.0,0.0,190449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,78.0,73.0,73.0,78.0,12.0,54.0,54.0,2.0,0.0,0.0,2.0,12.0,0.0,8.3,0.8,0.0,0.8,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,2.0,60.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
